VisitModeID,ProviderID,LocationID,Acceptingnewpatients,VirtualCare,VisitMode
c53498c7-8e43-496d-aef0-473a885f4505,3589f4a3-2fec-4c37-b606-ddc770d14e9d,e6929478-b837-4079-9cb1-2de78ab4215e,No,Yes,In-person
cc15b9a0-a9c6-4eba-941c-c738a8f582b8,d22e5365-14a7-4e53-ac4d-7568b981e7c8,01d24505-d286-4b3c-8cb1-a8391a45328a,No,Yes,In-person
850e4850-a013-47bd-b158-1242cdeceacb,2b230c5b-98b0-466e-bfc4-8021733dc7b6,87e1e245-aa57-4c7b-8b60-039af88e283c,Yes,Yes,Telehealth
cfcc2dab-c577-4fef-a95e-0ab7e579f714,09ba1750-76ba-49fb-af27-adad14416c4c,faf84fc5-26c5-4619-a96a-cceb7bba249c,No,Yes,Telehealth
d00809cf-8985-47ed-8f7a-b5fe2ebc5de0,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,e425a5bf-5970-4ff8-ae4a-d1c601d230eb,Yes,No,Telehealth
bcc95880-cf51-48d7-9da5-a6320a137283,414e9a8e-66f5-4056-87c9-6cdbbad27dab,00f2d0e5-a5e4-478a-93bb-7148d039d92b,No,No,Telehealth
2a06d864-824e-4ec2-beaf-560e3fd792ad,835d6d81-3269-4bd1-84ce-bbf02921be9e,8293326d-b539-4a95-8b8a-5fb11cb884bd,No,No,In-person
90af47a6-306d-4051-be87-bd0fbd9bbb82,42534d02-c3bb-4ce2-8123-1619951aa62b,75b49f87-1595-4cfc-a576-b8d2f9118c35,Yes,No,Hybrid
dd7c07e3-4c20-4962-bc8f-218fd24485c8,d901f083-5fc6-4d43-b8c7-4d017ae04fec,2b618866-4dbf-440d-9a72-9b20729451ad,Yes,Yes,Telehealth
303a3916-f335-49a5-a94a-7d320c4581b9,1e2832e5-7864-449a-8455-ca3777bed978,5110bec8-6da5-4c4c-82fa-7090f795ffc1,No,No,In-person
922bf33b-8017-4675-9361-74e7a3479fe5,cdb48bcd-8e4c-4673-91dd-a7e5386341db,433dbd2b-d59e-4a53-a6c2-d89d3b22f0cf,Yes,Yes,Telehealth
2f1dd6c6-8f20-450e-9b61-30d80049f3b9,807867a6-5b14-4843-8eef-6120b680266e,c0c54475-fd12-4235-ad8f-0ae63f0b6e11,No,No,Hybrid
7c9faa1c-35e2-45c4-b4a3-7347098550c3,9eb1a8fd-00ab-4a8f-abb8-335576ee7940,52c6bc45-ea9d-4675-8c54-3504d9bc739a,Yes,Yes,In-person
8a4330f6-6c64-40fa-a61f-13a49cbb2f32,4644701f-c79c-45d3-85e8-2ae2afcbe45c,16351160-5a69-492f-936f-cab744b3ba0f,Yes,No,In-person
d6a51eb4-be4f-4a90-a476-c23b03625b41,5e5c3106-986b-44be-97eb-9f46a5a489af,a8dd702d-ed58-462d-a10a-6e1c344ea0d5,Yes,No,In-person
b840fb54-c613-435d-8910-d7c56bc7b43d,a5ef6619-235d-4bd6-bd71-0320f9068fce,59563fc7-9bf0-4fa0-a94b-e1495156ac63,No,No,In-person
7ab04957-19c0-46d6-a3c0-d3dce38330f5,0f365f3e-3d4a-4550-b79d-3a83042c35e4,5a07308c-f00b-4572-8b0a-b3ff6dd8cce6,Yes,No,Hybrid
a5230b7c-8854-4fe3-9fb5-26e4f483c53d,3b8a4d21-b65e-45e2-8617-e4941185da70,9fc07f6b-0663-456d-a603-f9451bd02ab0,Yes,Yes,Telehealth
8f2e3226-d9f5-4af7-aa05-e243aa013ec7,ff778806-4dae-43dd-aaac-cb352124631c,b235bb4b-0719-4014-859a-715fb972904c,No,Yes,In-person
43c07f88-389f-494b-b33d-cb924a128342,ae9ecaac-9e40-4ae6-b1ea-c5eca580a5e7,08a9e74d-c79c-40b2-b125-cd676e2e9560,Yes,No,Hybrid
32dc3671-05bc-4f03-a6c2-c146dbead024,07224516-b4a4-413d-be35-7c77feae762e,2ce35edf-817e-40bc-9fac-b5ae4577e7a3,Yes,No,Telehealth
36f4dc3c-edbd-4367-a6d1-4a78344eccff,c251fe9a-3349-48c5-be0b-7c2f1cadffae,31af425d-9051-4710-99b9-b9cc3b03f2d5,No,Yes,Telehealth
9f9517b1-e903-4935-9ff0-7039ab061e02,a5753cfd-e116-46e3-832c-322deb56ad51,dc48d530-e224-4121-87ea-bf85b9ec1871,Yes,Yes,Telehealth
f21620e1-5b48-4ad4-a7e4-54afde681aa1,8ea72e86-31c2-48e6-8c4d-0b9da94c1ba5,73d2fcbc-6f47-4e76-8b6f-7f9e8f86e85f,Yes,Yes,Hybrid
63806fd3-ccf9-4928-a79a-bb677c23508c,6d0399d0-80c3-4e57-be67-a60a8ebcf29f,ca196c66-774e-479d-aa71-9bd0b9b9d603,No,No,Hybrid
438052d8-67f6-4a6c-8afa-bb5161f65835,74fc251c-8871-4f2a-bf52-624b8d02146a,7c2aef7f-3383-43f5-bad0-9b63b9fc93b4,Yes,Yes,In-person
e652c95c-e54b-41b4-95d9-99dbc2745625,0631ab1c-918d-409c-9bab-cbc5ee696a9a,43396005-f5f4-4aff-929a-40ff7607ae9a,Yes,No,Hybrid
a4db1273-dc57-4d60-9537-55e82d10e0a6,f37dcee0-7721-47ba-8969-87ff8bd6bf37,9fdd2386-6ead-4c88-a63f-82301b2a5dab,Yes,No,Telehealth
29730763-90f9-4ea6-89fd-863a77e78405,953b1c02-1417-441f-91c6-ee221e2287cb,d88a3877-23e4-4c94-b49c-84461c16d946,Yes,Yes,Telehealth
faabda4e-368f-474c-ac86-78d7980fac19,2d7635a4-6a05-47d2-a777-f09ecdea715e,b4a0ae50-920d-4914-8323-7fcfcf8cb35b,Yes,Yes,Telehealth
4bea5feb-c490-40a9-9422-7aa48d10187f,04382426-bcb1-4f57-a277-23aa43da3cca,41403a5f-fa6b-4e8a-b879-ffbfec519ca0,No,No,Hybrid
f817d1cf-8d83-40d8-bc24-d39f7686bfe3,0fb21727-53f6-49b8-90b8-8d96a9e3d449,5b116653-e985-4cc7-98c6-2038fda51c01,No,Yes,In-person
654b3e67-a21b-4e94-bdd9-0c4020c80396,0e604b67-5a4c-43c2-8e51-21d7f72fa835,ab3feccc-133f-443c-be0d-eb68315ea449,No,Yes,Telehealth
61d508e7-ad35-4c88-8e15-e920f8ffbdfa,b343e6df-ba9e-4ed3-a707-438eec4ffbd6,cc9fd13c-8c38-4780-80c7-5fa210e4e3fe,No,Yes,Telehealth
f3f59705-bf7f-4a0e-be14-6af6ef4b5ea7,caf691bc-fdf6-4d78-b993-d57d2bdd9f86,c7688014-53c1-4dc6-a341-931f38b3dc99,Yes,Yes,In-person
03b74a8c-eb7c-4746-843b-ed4dd2e0b4eb,f38be03a-194b-4f77-ba69-863d32cdf462,27e8e148-ba69-4944-86e6-888448cd08c8,No,Yes,In-person
a2213b46-951b-4d36-884e-a9ad52b0cabe,45ba9ed2-6820-4102-8b06-7ae8db71bef5,f91af78a-53d8-4783-80a9-75f78da997ab,No,No,In-person
d7a87093-f764-4326-b7ae-46e5d9856c4d,280d1b57-043a-4dde-ba4f-b9f422fdd34e,8da70765-f7b1-4d26-9065-732fa3fc2e4f,No,Yes,Hybrid
2953c08d-5c12-4c23-a9b7-5676ec250cec,831c77c0-c8ab-4c95-bba3-141d3efa7d66,e6b8f43d-9d7d-4727-8aab-8fe59e521e77,No,No,In-person
16acf383-7452-4421-88e0-7c4e0859971e,3c871099-1705-4091-ab59-8009e3e8411f,0c59ba53-2128-4fb4-ac0b-f1f4eb4ca1e5,No,No,Telehealth
9ee038e8-9086-485e-b2f8-78324782e6fc,07cc3beb-f837-4bd1-9088-9dd34f2a317d,f2ff777d-b982-4436-a9f0-542c35e00111,Yes,Yes,Hybrid
d42fbb38-ffb7-4518-bf8b-edc2879b636b,5b576ae3-bece-4405-b29f-3c3f9b813c50,b79ce267-76ba-4171-84e1-cda301a5fad1,Yes,No,Hybrid
cd4c90c2-3079-45bf-885e-6b79fb8681d9,66a016bf-9ac4-4cec-a4ce-88aa3f5ee524,ae1589e7-dbf8-4b08-9765-9b5cdbcf2b5d,Yes,No,Telehealth
eeb23243-b793-440a-9930-43709a672976,aa36c072-0786-4592-95b0-9ab17ce3c085,7d1b1fed-d035-4ec4-ae02-4fe4a0f35038,Yes,No,Hybrid
e035434a-47c4-40cc-b1bc-86446de72f11,de3496bc-b6a9-4482-bbe8-0da045702258,0d619e3b-3ad7-4ebe-9e57-297a7a256314,Yes,No,Telehealth
d5cd96d7-0b5a-4c49-b4dc-bc571548b970,5b7ee38c-0ff7-4727-b562-e91e6e8501b2,7cdb777e-033c-4a90-9e2e-9b3d0cb98c5e,Yes,No,Telehealth
d9d70d09-1030-4a56-8fe6-7472e04a2c55,8f188e40-18f0-4fbf-a057-af60ad8bc45b,0d0bee14-11ee-4155-83e6-ff7f0a075733,Yes,No,In-person
10ead2c7-41fa-4a82-a6ad-88cf1ffe35a1,3258b659-2b80-4dd2-8c38-2f129eaa4749,be941bd9-ae2c-4e79-91d9-36910b52d390,Yes,Yes,In-person
6ed5bbbe-f48e-4fce-952a-963203b4d346,2234a4c4-5b50-44df-ab49-0a655766e8f4,b2b06e13-65de-4519-8ce2-5a14ede83cac,Yes,No,Telehealth
45774e50-32df-4bb5-a6f9-3b5d8b80fd64,fb26bdf8-8d33-43dd-96bb-4730c6f538a9,eace8aa4-0845-4868-8312-f193a86aa0e8,No,No,In-person
487c6a13-e05a-42d3-931f-014af29aef10,3b26d193-e3aa-4f94-8dd1-9e509565ee95,5fab6bc7-be73-40f8-8899-4c71cc87079c,Yes,Yes,Telehealth
9d51bc78-5d57-4d4a-8424-48a8ae24554d,902001d9-3e56-44db-b982-0ba4f290a5aa,80bdf9a3-edf4-4f31-8a19-5f7d67f7f80b,No,Yes,Hybrid
7554c964-e5cc-4e41-a06a-179951490f58,e54e4b9c-c4a7-4d09-ac1d-f38e79d6d008,7d621ba0-f40c-4511-a4cb-6208a2561381,Yes,No,In-person
620cf1fa-3115-47f7-abab-1a44f54c2215,351f9e47-b452-4336-ae5c-8df68f5ed77e,d51fc186-7d4d-4cff-80c6-a89fe31c4b8f,No,No,Hybrid
cddb29b4-bbbf-49c1-9c91-d5f506db5312,7b9fdc52-ca5a-4a07-905c-ecdd7bea57f5,e02db9bc-ad85-4c3d-b44b-989b01fc50e9,Yes,Yes,Telehealth
77a4b162-40d1-44fb-9710-5c15d74d278d,f70c1796-b984-420a-9395-aea96be6acb3,92c268e7-a731-42be-98d4-d6abc885a956,No,No,Hybrid
a7d67293-50b7-4ed9-9d7d-ffc20251bfd9,45871a54-0271-485f-bced-009067af9ad4,8dc2a410-0585-49fd-80e8-0cd702e4c897,Yes,No,Hybrid
9d103c43-6fc6-4168-aecb-c1072c675ac5,2a9e12d5-2932-44ba-b0e6-dc319520b78e,c66ef530-fc49-4b8b-b295-b06e0ff8d663,Yes,No,Telehealth
6e0361f1-fb23-46f9-a607-75e5991ff540,9b9d267a-d667-4780-989e-4ffd277a0d19,fb72fae2-cbcb-4f54-8309-909078869165,No,No,Hybrid
f565fa2d-aa0c-4d20-a203-c71398d53bce,6c36d11b-9db4-40cf-865c-07bec5bf1b83,6801f159-c310-445f-9600-ec5bce010434,No,Yes,In-person
