LanguageRecordID,ProviderID,LocationID,ProviderLanguageID,ProviderLanguage,ProviderLanguageStartDate,ProviderLanguageEndDate
4eacfdb1-4aa2-45de-a316-ddf773c3c0c6,3589f4a3-2fec-4c37-b606-ddc770d14e9d,e6929478-b837-4079-9cb1-2de78ab4215e,1026ae2e-b339-4cf0-9456-66a711575e4e,"{Russian,Arabic}",2020-03-27,
e5c24a2d-5cb5-4608-a272-0b9665fb69e0,d22e5365-14a7-4e53-ac4d-7568b981e7c8,01d24505-d286-4b3c-8cb1-a8391a45328a,0f9999e2-ab6c-4317-98d3-27785790e3d8,{Portuguese},2025-03-26,
7967c4ff-1be8-40b7-904a-8f79b3f24a9a,2b230c5b-98b0-466e-bfc4-8021733dc7b6,87e1e245-aa57-4c7b-8b60-039af88e283c,bfe3e72b-6ba9-4cd6-9c76-1879a6eeeec8,{Spanish},2025-05-05,
d0c72364-cddf-486a-9f1f-b3c30a510bec,09ba1750-76ba-49fb-af27-adad14416c4c,faf84fc5-26c5-4619-a96a-cceb7bba249c,3ad4d2c9-d943-4f93-9a8b-7031ab73d768,{Arabic},2025-03-09,
cb80a34b-66f0-4efa-9400-fa5134e5300d,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,e425a5bf-5970-4ff8-ae4a-d1c601d230eb,3aeb2d76-d689-473a-9693-d6e387ba867c,"{Chinese,Russian,Spanish}",2017-10-10,2024-08-15
9020d3c9-36a2-4436-b177-c07ccfe88ceb,414e9a8e-66f5-4056-87c9-6cdbbad27dab,00f2d0e5-a5e4-478a-93bb-7148d039d92b,812d7505-b2fd-4ce5-b7e9-877e5a8c8dd8,{Hindi},2016-08-12,
5c62afeb-acea-4d6b-a2be-19e620cb89aa,835d6d81-3269-4bd1-84ce-bbf02921be9e,8293326d-b539-4a95-8b8a-5fb11cb884bd,56b6fd45-98c4-4a92-a2a7-21a54ba47e45,"{Russian,Polish}",2022-03-27,2023-08-12
c6f91dca-8ea9-488a-8055-2046cc144b70,42534d02-c3bb-4ce2-8123-1619951aa62b,75b49f87-1595-4cfc-a576-b8d2f9118c35,410e077c-0d65-4017-93aa-45ce15833d11,"{Hindi,German}",2022-05-24,
95d9457d-6453-4a4c-8442-2bad34339da9,d901f083-5fc6-4d43-b8c7-4d017ae04fec,2b618866-4dbf-440d-9a72-9b20729451ad,92e09747-1769-4aa1-b871-ba87d31f2d1f,"{Arabic,Hindi}",2015-07-22,
e3039a75-ecf1-4260-b26a-7bd6307ef81b,1e2832e5-7864-449a-8455-ca3777bed978,5110bec8-6da5-4c4c-82fa-7090f795ffc1,b4dbaeb1-a78e-45af-832f-2ab325bbcf7b,{Korean},2016-09-29,
00f767fe-1d16-405c-81ab-377805854066,cdb48bcd-8e4c-4673-91dd-a7e5386341db,433dbd2b-d59e-4a53-a6c2-d89d3b22f0cf,14531b09-e5fe-4afb-8571-e2dc979b9881,{Portuguese},2020-08-14,
b4485446-b9df-4adb-8bb0-52f68cc496f0,807867a6-5b14-4843-8eef-6120b680266e,c0c54475-fd12-4235-ad8f-0ae63f0b6e11,c94544bd-9d11-4049-9645-be6a478a5e19,{English},2018-09-18,2019-03-26
f3666fed-d991-4fe1-8322-5557bd67204f,9eb1a8fd-00ab-4a8f-abb8-335576ee7940,52c6bc45-ea9d-4675-8c54-3504d9bc739a,1062c6e7-7add-4017-99f4-04c28c6ffeed,{Vietnamese},2018-01-15,
e8684822-3069-496d-96f6-47f7bd79bded,4644701f-c79c-45d3-85e8-2ae2afcbe45c,16351160-5a69-492f-936f-cab744b3ba0f,b99cb508-b615-4712-872d-b4b25e14e502,"{Korean,English,Portuguese}",2016-01-10,
4e635ce8-7233-4d0e-9df4-482d4d6d310f,5e5c3106-986b-44be-97eb-9f46a5a489af,a8dd702d-ed58-462d-a10a-6e1c344ea0d5,b23f561a-596c-4f17-8c9c-59ee3d15965b,"{German,Spanish,Portuguese}",2023-10-30,
