RatingID,ProviderID,RatingSourceID,RatingSourceName,RatingType,RatingValue,RatingStartDate,RatingEndDate
31ed5781-4659-43dc-af71-735e50ae721e,3589f4a3-2fec-4c37-b606-ddc770d14e9d,3039f835-d39e-4bf7-b303-2fcb6e72a980,RateMDs,Patient,4.9,2021-05-14,2023-04-26
c3580ef0-eb91-48d4-8c18-193f6deb1a05,d22e5365-14a7-4e53-ac4d-7568b981e7c8,ed4b10e1-84cc-406b-bc72-3862e8a345b9,Healthgrades,Peer,2.9,2023-11-07,2025-07-03
d0f36f0a-2287-49ca-af95-6c9d71382219,2b230c5b-98b0-466e-bfc4-8021733dc7b6,e171a8ea-c570-4d31-89f6-a94864f1805b,Internal Audit,Patient,2.5,2023-04-03,2024-07-02
3771b2c0-e568-4f28-9c49-720f148591d8,09ba1750-76ba-49fb-af27-adad14416c4c,133967a6-d40c-458b-a6a6-3a56bd5a5762,Internal Audit,Patient,2.0,2023-09-19,2024-09-06
08a54b21-145b-4bc5-b3b0-a80950a0b5f1,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,a55e6fcf-bcd6-41b6-ad92-1587239b9a52,Healthgrades,Patient,2.5,2023-05-10,2025-05-01
f95f91b5-b8be-4fd0-a9be-36dc3cf9c302,414e9a8e-66f5-4056-87c9-6cdbbad27dab,818de2d4-e973-4fea-ac91-10cc6d1d511a,RateMDs,Internal,2.3,2021-03-20,2021-08-13
5e851521-a888-4fb7-8743-abf585112896,835d6d81-3269-4bd1-84ce-bbf02921be9e,a0be9ed8-6450-4e02-8244-d472098374c0,Vitals,Peer,3.5,2021-08-24,2023-10-11
b2ceef7d-35ff-4a2a-8883-477701cca9b2,42534d02-c3bb-4ce2-8123-1619951aa62b,ab7e3e2c-ec6e-4f09-8478-95bff598ddf3,RateMDs,Patient,1.3,2022-07-04,2022-08-10
ff323624-dd09-479f-82bc-1b578160c952,d901f083-5fc6-4d43-b8c7-4d017ae04fec,f7cbbdd1-c84a-46d0-8add-50cbbd80f7ff,Internal Audit,Patient,4.1,2021-05-11,2022-10-30
ef219be0-cc62-4dd9-8b9e-23dba1769ef2,1e2832e5-7864-449a-8455-ca3777bed978,7c4c8436-d877-4598-8dd7-77f20438b947,Internal Audit,Peer,1.1,2022-12-10,2023-06-08
a3cc5902-624a-43e4-b4de-96df0907045c,cdb48bcd-8e4c-4673-91dd-a7e5386341db,ff21c5d6-09e2-455e-b466-5a3f92810288,Vitals,Peer,4.4,2021-01-12,2022-06-26
b02016ac-6b31-4090-a910-031edc61aa02,807867a6-5b14-4843-8eef-6120b680266e,aff926f5-9bd6-47a5-a0ff-70bfe2e18908,Internal Audit,Internal,1.3,2022-08-18,2022-10-03
3899a894-8a32-4711-97cf-054b7e80dbc0,9eb1a8fd-00ab-4a8f-abb8-335576ee7940,41fbd303-0313-4497-939e-38c436cd00c0,Healthgrades,Patient,2.6,2022-01-11,2022-07-27
5befe924-28e4-496d-aa4e-4d97160b45c9,4644701f-c79c-45d3-85e8-2ae2afcbe45c,6e87376d-ba28-4857-accd-e490bab8acf0,Vitals,Internal,1.5,2023-03-27,2025-03-27
235c44b6-839e-4b0a-b009-1b1c146553f5,5e5c3106-986b-44be-97eb-9f46a5a489af,a47ee032-d636-4ded-9bca-3d125b630a1f,Vitals,Peer,1.3,2023-02-26,2023-10-18
48c718b9-8a3d-4911-a3e5-91389cce4f50,a5ef6619-235d-4bd6-bd71-0320f9068fce,e2c9c7ac-0bd9-4265-abc7-00f9c80fd415,Vitals,Internal,1.4,2023-08-06,2024-03-27
acedaca2-ba8b-4a4d-8dba-35dfdf63d936,0f365f3e-3d4a-4550-b79d-3a83042c35e4,8fefdb32-aa20-4513-8eb4-ae44eb281288,Vitals,Patient,1.5,2023-12-06,2025-05-08
ba5fda49-bfe8-4dd1-8743-cf96ded5df54,3b8a4d21-b65e-45e2-8617-e4941185da70,6a9c644e-add9-4839-93ea-7d4904f8c121,Internal Audit,Patient,1.3,2024-01-30,2025-07-03
5529d427-f953-459e-bb90-cf4064484c09,ff778806-4dae-43dd-aaac-cb352124631c,a6b7d612-e3bf-4584-aef1-de218e9c294e,Internal Audit,Internal,1.1,2024-05-18,2024-09-01
081d05b2-4a0e-43d0-807e-88af1aa45d61,ae9ecaac-9e40-4ae6-b1ea-c5eca580a5e7,acb9071d-16a9-4767-8aa8-edcea81f84aa,Vitals,Peer,3.1,2024-06-25,2025-05-16
92542fe6-ea59-487a-bf4d-2e51af50a12c,07224516-b4a4-413d-be35-7c77feae762e,8665cb2d-1e9b-46c1-99c6-b7c6dce3eb03,RateMDs,Patient,1.3,2023-12-29,2025-07-03
4df6714a-2b83-4b79-9702-f78909b9fdc4,c251fe9a-3349-48c5-be0b-7c2f1cadffae,748d0299-7a4d-4a0d-b5e4-19aa6d8091a7,Healthgrades,Patient,1.9,2022-05-26,2024-03-07
a5772409-593c-4b25-931c-8f0931a965f7,a5753cfd-e116-46e3-832c-322deb56ad51,fc72534d-d13c-443c-bf32-dddeba3e8fef,RateMDs,Internal,3.3,2021-07-06,2023-09-26
f147e6fb-567f-4b12-b1d4-98851f957ff1,8ea72e86-31c2-48e6-8c4d-0b9da94c1ba5,5de930f9-ed78-4f0f-b410-2a44a736c35c,RateMDs,Internal,4.2,2021-09-08,2024-05-31
c3df7626-bec9-4c1f-96dc-0ae120669dd1,6d0399d0-80c3-4e57-be67-a60a8ebcf29f,a84befc7-77e1-478b-9336-052efb1ea566,RateMDs,Internal,2.4,2024-06-08,2025-07-03
52df50e4-84c1-49f1-be05-bc3e74311164,74fc251c-8871-4f2a-bf52-624b8d02146a,2cb18372-dca6-4ac4-9d76-3b8fd90e8484,Healthgrades,Patient,1.9,2022-08-11,2023-11-14
a3f7c075-2489-431a-8a3c-7493e181bbab,0631ab1c-918d-409c-9bab-cbc5ee696a9a,531e2d89-844b-4d7b-822c-ad1c54544826,RateMDs,Peer,1.6,2024-05-05,2024-12-23
c205b6af-54a2-4e3e-b0ed-7665720278af,f37dcee0-7721-47ba-8969-87ff8bd6bf37,11d4cfe5-3b87-40cd-a6d6-db3f6c714207,RateMDs,Peer,4.0,2021-07-08,2022-09-02
befcd27b-9e7e-4684-8be8-8e5fc9c1c394,953b1c02-1417-441f-91c6-ee221e2287cb,17c147ec-d1da-4110-aeba-84af00db31e6,Healthgrades,Internal,2.3,2021-02-03,2022-11-05
b57d2040-3294-4f7f-9d04-b68f77bbbbfe,2d7635a4-6a05-47d2-a777-f09ecdea715e,bba4f180-c032-4a68-a6e0-1d347585aede,RateMDs,Peer,4.3,2023-03-20,2023-07-16
c3aba2d4-e87e-4572-bcac-fa5f5807a0bd,04382426-bcb1-4f57-a277-23aa43da3cca,34076a80-0d4e-4be4-aab8-d824bced4b54,RateMDs,Peer,3.8,2022-05-02,2023-08-27
84452a45-7183-4639-8774-83ec133cffc2,0fb21727-53f6-49b8-90b8-8d96a9e3d449,ad55a606-4399-49ce-bd41-3c19f2702ad8,Vitals,Patient,3.0,2022-01-05,2023-02-11
7ca145a5-3b89-46ff-b2c6-88ace2209145,0e604b67-5a4c-43c2-8e51-21d7f72fa835,ad5c3424-20db-4a7b-9c41-4a9763cf132f,Vitals,Patient,3.4,2022-12-24,2024-10-04
17d35a5a-d1fd-4219-a6ce-28fdabe909ae,b343e6df-ba9e-4ed3-a707-438eec4ffbd6,b2ef6502-741a-42b8-9a2a-b262f330f1df,Internal Audit,Patient,3.8,2024-04-07,2025-03-15
0cf7a5f3-9477-4fba-b772-3b1908d7872d,caf691bc-fdf6-4d78-b993-d57d2bdd9f86,8270c0aa-ca82-4dcb-b1d3-d658fd2f64b8,Healthgrades,Internal,4.1,2022-07-14,2024-03-11
1d1b7965-fc00-450c-90a8-4ca0f9a79238,f38be03a-194b-4f77-ba69-863d32cdf462,bcd20323-3fc6-4a15-b173-dd6b5a601831,Healthgrades,Peer,2.2,2020-07-18,2021-09-16
cb8426b4-2d57-4975-a254-33fee93247c5,45ba9ed2-6820-4102-8b06-7ae8db71bef5,db64e116-6ac7-4f89-85e2-99e230311819,Healthgrades,Peer,2.4,2020-12-29,2023-02-09
90c2494a-22bf-4e0e-9ee5-1ab8ab73f3fa,280d1b57-043a-4dde-ba4f-b9f422fdd34e,fc340041-e6bc-4351-a5c6-34ce8af3a732,RateMDs,Peer,3.3,2023-06-05,2023-09-03
