ProviderLocationID,ProviderID,ProviderAvailabilityDayOfWeek,ProviderAvailabilityStartTime,ProviderAvailabilityEndTime
e6929478-b837-4079-9cb1-2de78ab4215e,3589f4a3-2fec-4c37-b606-ddc770d14e9d,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,5:00 PM
01d24505-d286-4b3c-8cb1-a8391a45328a,d22e5365-14a7-4e53-ac4d-7568b981e7c8,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,6:45 PM
87e1e245-aa57-4c7b-8b60-039af88e283c,2b230c5b-98b0-466e-bfc4-8021733dc7b6,"{Mon,Wed,Thu,Fri,Sat}",9:00 AM,6:45 PM
faf84fc5-26c5-4619-a96a-cceb7bba249c,09ba1750-76ba-49fb-af27-adad14416c4c,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,4:15 PM
e425a5bf-5970-4ff8-ae4a-d1c601d230eb,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,"{Tue,Wed,Thu}",9:00 AM,4:15 PM
00f2d0e5-a5e4-478a-93bb-7148d039d92b,414e9a8e-66f5-4056-87c9-6cdbbad27dab,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,6:00 PM
8293326d-b539-4a95-8b8a-5fb11cb884bd,835d6d81-3269-4bd1-84ce-bbf02921be9e,"{Mon,Wed,Fri,Sat}",9:00 AM,5:45 PM
75b49f87-1595-4cfc-a576-b8d2f9118c35,42534d02-c3bb-4ce2-8123-1619951aa62b,"{Tue,Wed,Thu,Sat}",9:00 AM,5:45 PM
2b618866-4dbf-440d-9a72-9b20729451ad,d901f083-5fc6-4d43-b8c7-4d017ae04fec,"{Mon,Tue,Wed,Thu,Fri}",9:00 AM,4:45 PM
5110bec8-6da5-4c4c-82fa-7090f795ffc1,1e2832e5-7864-449a-8455-ca3777bed978,"{Tue,Wed,Thu}",9:00 AM,5:00 PM
433dbd2b-d59e-4a53-a6c2-d89d3b22f0cf,cdb48bcd-8e4c-4673-91dd-a7e5386341db,"{Mon,Thu,Sat}",9:00 AM,5:45 PM
c0c54475-fd12-4235-ad8f-0ae63f0b6e11,807867a6-5b14-4843-8eef-6120b680266e,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,5:15 PM
52c6bc45-ea9d-4675-8c54-3504d9bc739a,9eb1a8fd-00ab-4a8f-abb8-335576ee7940,"{Mon,Tue,Thu,Fri}",9:00 AM,6:15 PM
16351160-5a69-492f-936f-cab744b3ba0f,4644701f-c79c-45d3-85e8-2ae2afcbe45c,"{Mon,Tue,Wed,Sat}",9:00 AM,5:30 PM
a8dd702d-ed58-462d-a10a-6e1c344ea0d5,5e5c3106-986b-44be-97eb-9f46a5a489af,"{Tue,Thu,Fri,Sat}",9:00 AM,4:45 PM
59563fc7-9bf0-4fa0-a94b-e1495156ac63,a5ef6619-235d-4bd6-bd71-0320f9068fce,"{Mon,Wed,Thu,Fri}",9:00 AM,6:45 PM
5a07308c-f00b-4572-8b0a-b3ff6dd8cce6,0f365f3e-3d4a-4550-b79d-3a83042c35e4,"{Thu,Fri,Sat}",9:00 AM,6:00 PM
9fc07f6b-0663-456d-a603-f9451bd02ab0,3b8a4d21-b65e-45e2-8617-e4941185da70,"{Tue,Wed,Thu,Fri,Sat}",9:00 AM,6:45 PM
b235bb4b-0719-4014-859a-715fb972904c,ff778806-4dae-43dd-aaac-cb352124631c,"{Tue,Wed,Sat}",9:00 AM,6:15 PM
08a9e74d-c79c-40b2-b125-cd676e2e9560,ae9ecaac-9e40-4ae6-b1ea-c5eca580a5e7,"{Mon,Tue,Thu,Fri,Sat}",9:00 AM,4:00 PM
2ce35edf-817e-40bc-9fac-b5ae4577e7a3,07224516-b4a4-413d-be35-7c77feae762e,"{Mon,Tue,Wed,Thu,Fri}",9:00 AM,6:00 PM
31af425d-9051-4710-99b9-b9cc3b03f2d5,c251fe9a-3349-48c5-be0b-7c2f1cadffae,"{Mon,Tue,Wed,Thu,Sat}",9:00 AM,5:45 PM
